,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
63,2024-03-03,13:00,EGNM,Burnley,Bournemouth,0,2,A,0,1,A,D Coote,20,10,6,3,8,13,7,2,2,4,0,0,3.708,3.716,1.93,1627.72705078,1697.78271484,39.17948717948718,84.94871794871794,4.6923076923076925,Partly Cloudy
64,2024-03-02,15:00,EGNT,Newcastle,Wolves,3,0,H,2,0,H,T Robinson,14,12,7,3,8,11,3,5,0,1,0,0,1.884,3.892,3.738,1797.57568359,1749.66723633,36.46808510638298,98.65957446808513,6.085106382978723,Light Rain
65,2024-03-02,15:00,EGLL,Brentford,Chelsea,2,2,D,0,1,A,J Gillett,14,17,5,6,10,9,0,6,3,1,0,0,3.048,3.78,2.182,1732.05578613,1780.2043457,41.375,84.16666666666667,10.020833333333334,Light Rain
66,2024-03-02,15:00,EGGP,Everton,West Ham,1,3,A,0,0,D,C Pawson,22,12,11,5,9,6,4,5,1,2,0,0,2.0699999999999994,3.514,3.504,1724.83789062,1768.27258301,37.26086956521739,92.56521739130434,6.739130434782608,Mostly Cloudy
67,2024-03-02,15:00,EGLC,Fulham,Brighton,3,0,H,2,0,H,S Hooper,12,15,5,5,16,10,2,6,1,2,0,0,2.5839999999999996,3.598,2.6,1724.13964844,1801.5847168,43.458333333333336,77.95833333333333,9.583333333333334,Mostly Cloudy
68,2024-03-02,15:00,EGLC,Tottenham,Crystal Palace,3,1,H,0,0,D,J Brooks,14,4,6,1,7,16,11,1,1,2,0,0,1.488,4.468,6.202,1832.70495605,1710.91650391,43.458333333333336,77.95833333333333,9.583333333333334,Mostly Cloudy
69,2024-03-02,17:30,EGGW,Luton,Aston Villa,2,3,A,0,2,A,M Oliver,13,12,5,8,8,19,8,6,1,4,0,0,4.26,4.208,1.7239999999999998,1613.95214844,1843.8515625,38.229166666666664,92.6875,9.125,Light Rain
70,2024-02-26,20:00,EGLC,West Ham,Brentford,4,2,H,2,1,H,S Hooper,17,14,6,8,5,9,1,7,1,2,0,0,2.4839999999999995,3.536,2.686,1759.11242676,1741.21594238,44.3125,71.22916666666667,11.5625,Mostly Cloudy
71,2024-02-25,13:30,EGBB,Wolves,Sheffield United,1,0,H,1,0,H,D Bond,13,12,2,4,8,4,5,6,2,1,0,0,1.424,4.581999999999999,6.65,1746.37158203,1579.17932129,38.5,87.875,8.583333333333334,Mostly Cloudy
72,2024-02-24,20:00,EGLC,Arsenal,Newcastle,4,1,H,2,0,H,P Tierney,18,3,8,2,15,6,9,0,1,0,0,0,1.36,5.264,7.516,1945.37280273,1803.85302734,41.625,81.75,4.5,Fair
73,2024-02-24,15:00,EGCC,Man United,Fulham,1,2,A,0,0,D,M Oliver,21,17,9,5,6,11,10,9,2,5,0,0,1.556,4.362,5.3420000000000005,1821.27783203,1712.29089355,37.916666666666664,88.375,2.9791666666666665,Fair
74,2024-02-24,15:00,EGLC,Crystal Palace,Burnley,3,0,H,0,0,D,L Smith,15,2,6,0,8,13,12,3,3,1,0,1,1.968,3.4200000000000004,3.886,1701.65356445,1636.98999023,41.625,81.75,4.5,Fair
75,2024-02-24,15:00,EGKK,Brighton,Everton,1,1,D,0,0,D,T Harrington,23,6,7,3,9,14,11,3,2,3,1,0,1.826,3.838,4.01,1805.10803223,1721.3145752,37.6875,90.20833333333331,2.3958333333333335,Fair
76,2024-02-24,17:30,EGHH,Bournemouth,Man City,0,1,A,0,1,A,J Gillett,13,15,4,6,14,6,3,8,2,2,0,0,6.840000000000001,5.038,1.4,1699.76098633,2046.00842285,39.84375,88.40625,3.625,Partly Cloudy
77,2024-02-21,19:30,EGGP,Liverpool,Luton,4,1,H,0,1,A,A Madley,29,12,13,3,15,14,13,4,1,4,0,0,1.178,7.537999999999999,12.986,1956.54528809,1617.44958496,50.3125,86.79166666666667,14.708333333333334,Mostly Cloudy
78,2024-02-20,19:30,EGCC,Man City,Brentford,1,0,H,0,0,D,D England,25,6,11,2,12,6,10,1,2,4,0,0,1.168,7.884,14.707999999999998,2045.74816895,1744.06530762,47.979166666666664,90.6875,7.5625,Fair
79,2024-02-19,20:00,EGGP,Everton,Crystal Palace,1,1,D,0,0,D,P Tierney,19,10,4,4,8,12,3,6,0,2,0,0,1.702,3.5980000000000003,5.151999999999999,1724.59619141,1700.96105957,48.791666666666664,83.8125,12.229166666666666,Fair
80,2024-02-18,16:30,EGGW,Luton,Man United,1,2,A,1,2,A,D Coote,22,21,4,9,7,21,8,6,3,5,0,0,3.994,3.986,1.7920000000000005,1621.84875488,1818.17321777,50.541666666666664,90.4375,12.208333333333334,Light Rain
81,2024-02-18,14:00,EGCN,Sheffield United,Brighton,0,5,A,0,2,A,S Attwell,6,24,1,10,3,5,5,10,1,4,1,0,4.848000000000001,4.180000000000001,1.626,1589.70703125,1797.16931152,49.35287081339713,80.27083333333333,8.452570921985817,Fair
82,2024-02-17,17:30,EGCC,Man City,Chelsea,1,1,D,0,1,A,A Madley,31,9,5,6,7,12,12,1,1,3,0,0,1.324,5.492,8.123999999999999,2053.18994141,1774.05725098,51.854166666666664,92.79166666666669,6.25,Light Rain
83,2024-02-17,15:00,EGLC,Tottenham,Wolves,1,2,A,0,1,A,A Taylor,15,12,4,7,8,13,10,4,0,1,0,0,1.53,4.624,5.322,1846.02880859,1735.63684082,52.708333333333336,83.72916666666667,8.9375,Cloudy
84,2024-02-17,15:00,EGNT,Newcastle,Bournemouth,2,2,D,0,0,D,M Salisbury,17,12,5,7,9,22,4,2,1,3,0,0,1.81,4.11,3.788,1809.6237793,1696.5793457,49.19565217391305,92.43478260869566,5.739130434782608,Mostly Cloudy
85,2024-02-17,15:00,EGLC,Fulham,Aston Villa,1,2,A,0,1,A,L Smith,15,12,4,3,11,6,4,4,5,2,0,0,2.9040000000000004,3.702,2.2339999999999995,1719.97387695,1834.19177246,52.708333333333336,83.72916666666667,8.9375,Cloudy
86,2024-02-17,15:00,EGNM,Burnley,Arsenal,0,5,A,0,2,A,J Gillett,8,16,0,7,11,8,4,6,2,1,0,0,9.906,5.596,1.2879999999999998,1644.36047363,1944.78515625,50.23076923076923,94.74358974358974,7.897435897435898,Light Rain
87,2024-02-17,12:30,EGLL,Brentford,Liverpool,1,4,A,0,1,A,M Oliver,15,15,6,8,4,18,1,6,2,1,0,0,5.304,4.369999999999999,1.5619999999999998,1751.79064941,1948.82006836,51.645833333333336,87.35416666666667,9.895833333333334,Cloudy
88,2024-02-12,20:00,EGLC,Crystal Palace,Chelsea,1,3,A,1,0,H,M Oliver,13,14,4,5,14,7,1,7,2,2,0,0,4.13,3.7120000000000006,1.8400000000000003,1712.38757324,1762.28125,44.770833333333336,71.20833333333333,8.75,Fair
89,2024-02-11,14:00,EGLC,West Ham,Arsenal,0,6,A,0,4,A,C Pawson,5,25,1,12,17,11,2,6,4,0,0,0,5.79,4.272,1.532,1787.40466309,1930.73010254,47.5625,81.20833333333333,7.291666666666667,Fair
